,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,08/01/2020,Brazilian Sao Paulo Youth Cup - BR,Palmeira U20 x Sao Paulo U20,80,1x9,2,13,1,6,1,1,21,78,27,73,4,13,15,45,1000,,,1.01,1000,,,,,,,,,,,,,,,,,,1000,,,1.01,1000,
1,08/01/2020,Brazilian Sao Paulo Youth Cup - BR,Palmeira U20 x Sao Paulo U20,90,1x9,2,13,2,9,1,1,26,90,28,72,5,12,16,44,1000,,,1.01,1000,,,,,,,,,,,,,,,,,,1000,,,1.01,1000,
2,08/01/2020,Brazilian Sao Paulo Youth Cup - BR,Palmeira U20 x Sao Paulo U20,FT,1x9,2,13,2,9,1,1,27,90,28,72,6,12,16,44,1000,,,1.01,1000,,,,,,,,,,,,,,,,,,1000,,,1.01,1000,
